"","Family","n"
"1","Acetobacteraceae",40
"2","Acidobacteriaceae",1
"3","Alcaligenaceae",7
"4","Bacteroidaceae",11
"5","Beijerinckiaceae",1
"6","Boseaceae",7
"7","Burkholderiaceae",21
"8","Cardiobacteriaceae",1
"9","Caulobacteraceae",62
"10","Comamonadaceae",7
"11","Desulfocapsaceae",2
"12","Desulfovibrionaceae",6
"13","Dysgonomonadaceae",1
"14","Enterobacteriaceae",96
"15","Erwiniaceae",4
"16","Erythrobacteraceae",1
"17","Fibrobacteraceae",1
"18","Flavobacteriaceae",12
"19","Francisellaceae",14
"20","Hafniaceae",7
"21","Halieaceae",2
"22","Hyphomicrobiaceae",1
"23","Hyphomonadaceae",1
"24","Leptotrichiaceae",2
"25","Methylobacteriaceae",35
"26","Methylococcaceae",1
"27","Micromonosporaceae",2
"28","Moraxellaceae",1
"29","Morganellaceae",7
"30","Orbaceae",7
"31","Oxalobacteraceae",5
"32","Pasteurellaceae",3
"33","Phyllobacteriaceae",13
"34","Polyangiaceae",1
"35","Prevotellaceae",51
"36","Prochlorococcaceae",3
"37","Pseudomonadaceae",55
"38","Rhizobiaceae",8
"39","Rhodanobacteraceae",11
"40","Rhodospirillaceae",2
"41","Sphingomonadaceae",50
"42","Streptomycetaceae",1
"43","Synechococcaceae",7
"44","Tannerellaceae",3
"45","unclassified ",6
"46","Verrucomicrobia subdivision 3",2
"47","Vibrionaceae",6
"48","Xanthobacteraceae",1
"49","Xanthomonadaceae",104
"50","Yersiniaceae",54
"51","Zymomonadaceae",1
