"","Family","n"
"1","",7
"2","Acaryochloridaceae",1
"3","Acetobacteraceae",2
"4","Acidobacteriaceae",1
"5","Alcanivoracaceae",6
"6","Alteromonadaceae",13
"7","Aphanothecaceae",4
"8","Aquificaceae",1
"9","Archangiaceae",1
"10","Arcobacteraceae",1
"11","Azospirillaceae",1
"12","Bacillaceae",24
"13","Beutenbergiaceae",4
"14","Burkholderiaceae",15
"15","Caulobacteraceae",33
"16","Cellvibrionaceae",1
"17","Chromatiaceae",2
"18","Chromobacteriaceae",2
"19","Chroococcaceae",2
"20","Chroococcidiopsidaceae",1
"21","Comamonadaceae",32
"22","Corynebacteriaceae",29
"23","Cyanothecaceae",1
"24","Deinococcaceae",1
"25","Dermabacteraceae",2
"26","Devosiaceae",1
"27","Dietziaceae",1
"28","Erythrobacteraceae",4
"29","Ferrimonadaceae",1
"30","Flavobacteriaceae",5
"31","Frankiaceae",7
"32","Gemmatimonadaceae",2
"33","Geodermatophilaceae",1
"34","Gloeobacteraceae",5
"35","Glycomycetaceae",1
"36","Gordoniaceae",24
"37","Hahellaceae",2
"38","Halieaceae",5
"39","Haloarculaceae",1
"40","Haloferacaceae",2
"41","Halorubraceae",1
"42","Halothiobacillaceae",1
"43","Hapalosiphonaceae",1
"44","Hyellaceae",1
"45","Hyphomonadaceae",5
"46","Idiomarinaceae",2
"47","Ilumatobacteraceae",1
"48","Intrasporangiaceae",4
"49","Isosphaeraceae",3
"50","Kineosporiaceae",2
"51","Kofleriaceae",2
"52","Kribbellaceae",7
"53","Kytococcaceae",1
"54","Leptolyngbyaceae",2
"55","Maricaulaceae",1
"56","Marinobacteraceae",10
"57","Micrococcaceae",8
"58","Micromonosporaceae",10
"59","Microthrixaceae",3
"60","Moraxellaceae",109
"61","Mycobacteriaceae",2
"62","Myxococcaceae",3
"63","Natrialbaceae",8
"64","Nitrobacteraceae",4
"65","Nocardiaceae",22
"66","Nocardioidaceae",3
"67","Nocardiopsaceae",3
"68","Nostocaceae",11
"69","Oceanospirillaceae",4
"70","Oxalobacteraceae",6
"71","Paenibacillaceae",2
"72","Parvibaculaceae",2
"73","Parvularculaceae",1
"74","Patulibacteraceae",1
"75","Pirellulaceae",5
"76","Planctomycetaceae",2
"77","Polyangiaceae",2
"78","Porticoccaceae",2
"79","Promicromonosporaceae",1
"80","Pseudoalteromonadaceae",13
"81","Pseudomonadaceae",37
"82","Pseudonocardiaceae",36
"83","Rhizobiaceae",1
"84","Rhodanobacteraceae",1
"85","Rhodospirillaceae",4
"86","Rhodothermaceae",1
"87","Salinisphaeraceae",1
"88","Shewanellaceae",17
"89","Sinobacteraceae",1
"90","Sphaerotilaceae",1
"91","Sphingobacteriaceae",1
"92","Sphingomonadaceae",40
"93","Sphingosinicellaceae",1
"94","Spirosomaceae",1
"95","Spongiibacteraceae",3
"96","Sterolibacteriaceae",2
"97","Streptomycetaceae",100
"98","Streptosporangiaceae",4
"99","Thalassobaculaceae",1
"100","Thermaceae",1
"101","Thermomonosporaceae",2
"102","Thiotrichaceae",2
"103","Tsukamurellaceae",1
"104","Vibrionaceae",24
"105","Weeksellaceae",2
"106","Xanthomonadaceae",27
"107","Zoogloeaceae",1
