"","Family","n"
"1","",14
"2","Aeromonadaceae",2
"3","Ahrensiaceae",1
"4","Alcaligenaceae",6
"5","Alcanivoracaceae",3
"6","Aphanizomenonaceae",1
"7","Burkholderiaceae",2
"8","Calotrichaceae",1
"9","Campylobacteraceae",32
"10","Caulobacteraceae",1
"11","Cellvibrionaceae",2
"12","Chromatiaceae",1
"13","Chromobacteriaceae",1
"14","Chroococcaceae",1
"15","Comamonadaceae",17
"16","Ectothiorhodospiraceae",1
"17","Enterobacteriaceae",29
"18","Erwiniaceae",4
"19","Hafniaceae",1
"20","Hahellaceae",1
"21","Halomonadaceae",5
"22","Hapalosiphonaceae",1
"23","Idiomarinaceae",1
"24","Leptolyngbyaceae",1
"25","Marinobacteraceae",5
"26","Methylococcaceae",1
"27","Methylophilaceae",1
"28","Moraxellaceae",76
"29","Moritellaceae",1
"30","Nitrosomonadaceae",2
"31","Nostocaceae",4
"32","Oceanospirillaceae",6
"33","Oxalobacteraceae",1
"34","Pasteurellaceae",1
"35","Pectobacteriaceae",1
"36","Piscirickettsiaceae",4
"37","Pseudomonadaceae",110
"38","Rhizobiaceae",4
"39","Rhodobacteraceae",1
"40","Roseobacteraceae",4
"41","Shewanellaceae",11
"42","Sphaerotilaceae",3
"43","Sphingomonadaceae",6
"44","Stappiaceae",3
"45","Synechococcaceae",3
"46","Thiovulaceae",1
"47","Vibrionaceae",31
"48","Yersiniaceae",11
"49","Zoogloeaceae",4
